gene_id	gene_name	gene_type	gene_description	gene_version	seqnames	start	end	width	strand
ENSMUSG00000051951	Xkr4	protein_coding	X-linked Kx blood group related 4	6	chr1	3276124	3741721	465598	-
ENSMUSG00000089699	Gm1992	lncRNA	predicted gene 1992	2	chr1	3536810	3583776	46967	+
ENSMUSG00000102331	Gm19938	lncRNA	predicted gene, 19938	2	chr1	3717532	3729127	11596	-
ENSMUSG00000102343	Gm37381	lncRNA	predicted gene, 37381	2	chr1	3975962	4056438	80477	-
ENSMUSG00000025900	Rp1	protein_coding	retinitis pigmentosa 1 (human)	14	chr1	4069780	4479464	409685	-
ENSMUSG00000025902	Sox17	protein_coding	SRY (sex determining region Y)-box 17	14	chr1	4561154	4567577	6424	-
ENSMUSG00000104238	Gm37587	lncRNA	predicted gene, 37587	2	chr1	4566774	4569781	3008	+
ENSMUSG00000104328	Gm37323	lncRNA	predicted gene, 37323	2	chr1	4653352	4656475	3124	-
ENSMUSG00000033845	Mrpl15	protein_coding	mitochondrial ribosomal protein L15	14	chr1	4843429	4855962	12534	-
ENSMUSG00000120403	A930006A01Rik	lncRNA	RIKEN cDNA A930006A01 gene	1	chr1	4855991	4857360	1370	+
ENSMUSG00000025903	Lypla1	protein_coding	lysophospholipase 1	15	chr1	4878011	4918633	40623	+
ENSMUSG00000033813	Tcea1	protein_coding	transcription elongation factor A (SII) 1	16	chr1	4928037	4968132	40096	+
ENSMUSG00000002459	Rgs20	protein_coding	regulator of G-protein signaling 20	18	chr1	4979799	5140508	160710	-
ENSMUSG00000085623	Gm16041	lncRNA	predicted gene 16041	2	chr1	5041080	5047043	5964	+
ENSMUSG00000033793	Atp6v1h	protein_coding	ATPase, H+ transporting, lysosomal V1 subunit H	13	chr1	5140241	5232752	92512	+
ENSMUSG00000025905	Oprk1	protein_coding	opioid receptor, kappa 1	15	chr1	5658689	5676354	17666	+
ENSMUSG00000033774	Npbwr1	protein_coding	neuropeptides B/W receptor 1	5	chr1	5983926	5987617	3692	-
ENSMUSG00000090031	4732440D04Rik	lncRNA	RIKEN cDNA 4732440D04 gene	4	chr1	6234353	6285517	51165	-
ENSMUSG00000025907	Rb1cc1	protein_coding	RB1-inducible coiled-coil 1	15	chr1	6276421	6346872	70452	+
ENSMUSG00000087247	Alkal1	protein_coding	ALK and LTK ligand 1	4	chr1	6429442	6464955	35514	+
ENSMUSG00000033740	St18	protein_coding	suppression of tumorigenicity 18	18	chr1	6557455	6931164	373710	+
ENSMUSG00000120372	Gm57122	lncRNA	predicted gene, 57122	1	chr1	7158447	7159048	602	-
ENSMUSG00000051285	Pcmtd1	protein_coding	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	18	chr1	7159144	7243852	84709	+
ENSMUSG00000097797	Gm26901	lncRNA	predicted gene, 26901	7	chr1	7419630	7468093	48464	-
ENSMUSG00000103067	Gm30414	lncRNA	predicted gene, 30414	2	chr1	7568192	7588373	20182	+
ENSMUSG00000025909	Sntg1	protein_coding	syntrophin, gamma 1	17	chr1	8431699	9370103	938405	-
ENSMUSG00000061024	Rrs1	protein_coding	ribosome biogenesis regulator 1	9	chr1	9615633	9617680	2048	+
ENSMUSG00000025911	Adhfe1	protein_coding	alcohol dehydrogenase, iron containing, 1	15	chr1	9618173	9650898	32726	+
ENSMUSG00000079671	2610203C22Rik	lncRNA	RIKEN cDNA 2610203C22 gene	10	chr1	9630705	9701406	70702	-
ENSMUSG00000067879	Vxn	protein_coding	vexin	4	chr1	9671424	9697368	25945	+
ENSMUSG00000099827	Gm29520	lncRNA	predicted gene 29520	2	chr1	9709480	9710807	1328	-
ENSMUSG00000025912	Mybl1	protein_coding	myeloblastosis oncogene-like 1	17	chr1	9737640	9770434	32795	-
ENSMUSG00000045210	Vcpip1	protein_coding	valosin containing protein (p97)/p47 complex interacting protein 1	9	chr1	9788847	9818607	29761	-
ENSMUSG00000097893	1700034P13Rik	lncRNA	RIKEN cDNA 1700034P13 gene	10	chr1	9817873	9862152	44280	+
ENSMUSG00000025915	Sgk3	protein_coding	serum/glucocorticoid regulated kinase 3	15	chr1	9868332	9971070	102739	+
ENSMUSG00000098234	Snhg6	lncRNA	small nucleolar RNA host gene 6	9	chr1	9926809	10014398	87590	-
ENSMUSG00000046101	Mcmdc2	protein_coding	minichromosome maintenance domain containing 2	17	chr1	9978863	10012310	33448	+
ENSMUSG00000099032	Tcf24	protein_coding	transcription factor 24	3	chr1	10030388	10038157	7770	-
ENSMUSG00000025916	Ppp1r42	protein_coding	protein phosphatase 1, regulatory subunit 42	11	chr1	10038849	10079361	40513	-
ENSMUSG00000087199	Gm15818	lncRNA	predicted gene 15818	2	chr1	10052612	10062591	9980	+
ENSMUSG00000121270	Gm57177	lncRNA	predicted gene, 57177	1	chr1	10060094	10062168	2075	-
ENSMUSG00000025917	Cops5	protein_coding	COP9 signalosome subunit 5	10	chr1	10094826	10108393	13568	-
ENSMUSG00000056763	Cspp1	protein_coding	centrosome and spindle pole associated protein 1	17	chr1	10108212	10206993	98782	+
ENSMUSG00000067851	Arfgef1	protein_coding	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	12	chr1	10207796	10302895	95100	-
ENSMUSG00000042501	Cpa6	protein_coding	carboxypeptidase A6	13	chr1	10394945	10790170	395226	-
ENSMUSG00000048960	Prex2	protein_coding	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	14	chr1	11063689	11373905	310217	+
ENSMUSG00000057715	A830018L16Rik	protein_coding	RIKEN cDNA A830018L16 gene	14	chr1	11484329	12046125	561797	+
ENSMUSG00000097171	Gm17644	lncRNA	predicted gene, 17644	2	chr1	12737787	12743314	5528	+
ENSMUSG00000101314	Gm29663	lncRNA	predicted gene 29663	2	chr1	12740548	12741400	853	-
ENSMUSG00000016918	Sulf1	protein_coding	sulfatase 1	16	chr1	12762501	12931416	168916	+
ENSMUSG00000025938	Slco5a1	protein_coding	solute carrier organic anion transporter family, member 5A1	17	chr1	12936773	13062874	126102	-
